Data Measurement of Sensor: SPS30 
Start Time: 10.12.2019 12:58:40 
Sensortype: Particle Sensor 
Timestamp; ; Mass PM1.0 [ug/m^3]; Mass PM2.5 [ug/m^3]; Mass PM4.0 [ug/m^3]; Mass PM10.0 [ug/m^3]; Number PM0.5 [#/cm^3]; Number PM1.0 [#/cm^3]; Number PM2.5 [#/cm^3]; Number PM4.0 [#/cm^3]; Number PM10.0 [#/cm^3]; Typical Particle Size [um];
10.12.2019; 12:59:15; 7.802478671e-01 ; 1.504842520e+00 ; 2.019999027e+00 ; 2.126955748e+00 ; 3.514829874e+00 ; 5.287180901e+00 ; 6.023615360e+00 ; 6.115545750e+00 ; 6.130840778e+00 ; 7.768992186e-01 ;
10.12.2019; 13:14:15; 9.177218080e-01 ; 1.907523632e+00 ; 2.615144491e+00 ; 2.762061119e+00 ; 3.728638411e+00 ; 6.001967430e+00 ; 7.009890079e+00 ; 7.136121273e+00 ; 7.157107353e+00 ; 1.033767104e+00 ;
10.12.2019; 13:29:15; 1.015702367e+00 ; 2.415485144e+00 ; 3.423661947e+00 ; 3.632979631e+00 ; 3.229602098e+00 ; 6.163146496e+00 ; 7.592267513e+00 ; 7.772031307e+00 ; 7.801886559e+00 ; 1.095246553e+00 ;
10.12.2019; 13:44:15; 2.309199095e+00 ; 5.258965015e+00 ; 7.379037380e+00 ; 7.819208145e+00 ; 8.028346062e+00 ; 1.437858009e+01 ; 1.738794899e+01 ; 1.776601791e+01 ; 1.782882881e+01 ; 1.275184274e+00 ;
10.12.2019; 13:59:15; 1.798424006e+00 ; 2.197929859e+00 ; 2.445806265e+00 ; 2.497271538e+00 ; 1.184746838e+01 ; 1.418932533e+01 ; 1.457735157e+01 ; 1.462199688e+01 ; 1.462957096e+01 ; 4.985600412e-01 ;
10.12.2019; 14:14:15; 1.373071313e+00 ; 2.584165096e+00 ; 3.443379641e+00 ; 3.621770144e+00 ; 6.374154568e+00 ; 9.405259132e+00 ; 1.063523197e+01 ; 1.078857899e+01 ; 1.081410217e+01 ; 9.140037298e-01 ;
10.12.2019; 14:29:15; 8.586928248e-01 ; 9.301636219e-01 ; 9.603191614e-01 ; 9.665806890e-01 ; 6.008458614e+00 ; 6.962970257e+00 ; 7.025323391e+00 ; 7.030939102e+00 ; 7.031956673e+00 ; 5.344814062e-01 ;
10.12.2019; 14:44:15; 1.634263158e+00 ; 2.481174707e+00 ; 3.064206839e+00 ; 3.185255766e+00 ; 9.339510918e+00 ; 1.213146973e+01 ; 1.298271465e+01 ; 1.308697414e+01 ; 1.310439682e+01 ; 8.681082129e-01 ;
10.12.2019; 14:59:15; 1.185901642e+00 ; 1.605889440e+00 ; 1.885095835e+00 ; 1.943065405e+00 ; 7.350830555e+00 ; 9.109863281e+00 ; 9.527057648e+00 ; 9.577102661e+00 ; 9.585507393e+00 ; 7.765421271e-01 ;
10.12.2019; 15:14:15; 1.099464536e+00 ; 1.403108716e+00 ; 1.598573565e+00 ; 1.639157057e+00 ; 7.067796230e+00 ; 8.580994606e+00 ; 8.879433632e+00 ; 8.914546967e+00 ; 8.920470238e+00 ; 5.763570666e-01 ;
