Data Measurement of Sensor: SPS30 
Start Time: 10.12.2019 12:56:55 
Sensortype: Particle Sensor 
Timestamp; ; Mass PM1.0 [ug/m^3]; Mass PM2.5 [ug/m^3]; Mass PM4.0 [ug/m^3]; Mass PM10.0 [ug/m^3]; Number PM0.5 [#/cm^3]; Number PM1.0 [#/cm^3]; Number PM2.5 [#/cm^3]; Number PM4.0 [#/cm^3]; Number PM10.0 [#/cm^3]; Typical Particle Size [um];
10.12.2019; 18:27:35; 7.855849743e+00 ; 8.980823517e+00 ; 9.525945663e+00 ; 9.634982109e+00 ; 5.270118713e+01 ; 6.175654221e+01 ; 6.265259552e+01 ; 6.280041122e+01 ; 6.283501816e+01 ; 6.168107986e-01 ;
10.12.2019; 18:42:35; 7.928822517e+00 ; 9.550024033e+00 ; 1.049335766e+01 ; 1.068203926e+01 ; 5.215782928e+01 ; 6.184569168e+01 ; 6.320304108e+01 ; 6.344005585e+01 ; 6.348804474e+01 ; 6.841341257e-01 ;
10.12.2019; 18:57:35; 8.223164558e+00 ; 1.230275345e+01 ; 1.522202206e+01 ; 1.580588818e+01 ; 4.899478912e+01 ; 6.174964905e+01 ; 6.539366150e+01 ; 6.607305145e+01 ; 6.618730927e+01 ; 7.487689853e-01 ;
10.12.2019; 19:12:35; 7.859678745e+00 ; 9.437247276e+00 ; 1.034848499e+01 ; 1.053074551e+01 ; 5.176569748e+01 ; 6.133576965e+01 ; 6.265378571e+01 ; 6.288340378e+01 ; 6.293017960e+01 ; 5.742993951e-01 ;
10.12.2019; 19:27:35; 1.020078659e+01 ; 1.158172321e+01 ; 1.222494888e+01 ; 1.235361004e+01 ; 6.860202789e+01 ; 8.027023315e+01 ; 8.135932159e+01 ; 8.153681183e+01 ; 8.157960510e+01 ; 5.468870401e-01 ;
10.12.2019; 19:42:35; 8.844147682e+00 ; 1.109289646e+01 ; 1.250155163e+01 ; 1.278329659e+01 ; 5.724266052e+01 ; 6.854608917e+01 ; 7.047078705e+01 ; 7.081478882e+01 ; 7.088015747e+01 ; 6.936746240e-01 ;
10.12.2019; 19:57:35; 9.030303955e+00 ; 9.768382072e+00 ; 9.945758820e+00 ; 9.981248856e+00 ; 6.176032639e+01 ; 7.154282379e+01 ; 7.205522919e+01 ; 7.212479401e+01 ; 7.214964294e+01 ; 5.083140731e-01 ;
10.12.2019; 20:12:35; 1.005202198e+01 ; 1.187732506e+01 ; 1.288710022e+01 ; 1.308906937e+01 ; 6.661389160e+01 ; 7.863632965e+01 ; 8.014265442e+01 ; 8.040154266e+01 ; 8.045619202e+01 ; 6.274507046e-01 ;
10.12.2019; 20:27:35; 8.699959755e+00 ; 9.734760284e+00 ; 1.016764355e+01 ; 1.025423527e+01 ; 5.881269455e+01 ; 6.860278320e+01 ; 6.939831543e+01 ; 6.952385712e+01 ; 6.955649567e+01 ; 5.667636395e-01 ;
10.12.2019; 20:42:35; 8.796228409e+00 ; 1.021326733e+01 ; 1.095103073e+01 ; 1.109859753e+01 ; 5.867506409e+01 ; 6.899208069e+01 ; 7.014215851e+01 ; 7.033612823e+01 ; 7.037910461e+01 ; 6.454763412e-01 ;
10.12.2019; 20:57:35; 1.160641289e+01 ; 1.323524284e+01 ; 1.401372051e+01 ; 1.416943264e+01 ; 7.793262482e+01 ; 9.127368927e+01 ; 9.256655884e+01 ; 9.277892303e+01 ; 9.282917786e+01 ; 5.640173554e-01 ;
10.12.2019; 21:12:35; 9.920485497e+00 ; 1.188756943e+01 ; 1.301821041e+01 ; 1.324435234e+01 ; 6.538993835e+01 ; 7.744207001e+01 ; 7.908316803e+01 ; 7.936863708e+01 ; 7.942701721e+01 ; 6.067653894e-01 ;
10.12.2019; 21:27:35; 1.232318783e+01 ; 1.423839855e+01 ; 1.521531487e+01 ; 1.541071415e+01 ; 8.235044098e+01 ; 9.672516632e+01 ; 9.827108765e+01 ; 9.853018951e+01 ; 9.858850861e+01 ; 6.155220270e-01 ;
10.12.2019; 21:42:35; 1.098443317e+01 ; 1.172039795e+01 ; 1.180518723e+01 ; 1.182216263e+01 ; 7.546915436e+01 ; 8.718586731e+01 ; 8.765824890e+01 ; 8.771362305e+01 ; 8.773950195e+01 ; 5.052834749e-01 ;
10.12.2019; 21:57:35; 1.288638115e+01 ; 1.667212296e+01 ; 1.913670921e+01 ; 1.962964821e+01 ; 8.232280731e+01 ; 9.936730957e+01 ; 1.026465225e+02 ; 1.032397995e+02 ; 1.033487473e+02 ; 7.095647454e-01 ;
10.12.2019; 22:12:35; 1.108999443e+01 ; 1.292695332e+01 ; 1.389789200e+01 ; 1.409209824e+01 ; 7.386841583e+01 ; 8.693265533e+01 ; 8.842965698e+01 ; 8.868331909e+01 ; 8.873885345e+01 ; 6.662799120e-01 ;
10.12.2019; 22:27:35; 1.148253918e+01 ; 1.227593422e+01 ; 1.238403893e+01 ; 1.240568066e+01 ; 7.884026337e+01 ; 9.111544800e+01 ; 9.163169098e+01 ; 9.169391632e+01 ; 9.172159576e+01 ; 4.931882024e-01 ;
10.12.2019; 22:42:35; 1.407868481e+01 ; 1.557125759e+01 ; 1.612448502e+01 ; 1.623514748e+01 ; 9.556042480e+01 ; 1.111977768e+02 ; 1.123154297e+02 ; 1.124856949e+02 ; 1.125336227e+02 ; 5.830610991e-01 ;
10.12.2019; 22:57:35; 1.323180866e+01 ; 1.644990921e+01 ; 1.843902779e+01 ; 1.883687210e+01 ; 8.595227814e+01 ; 1.026982956e+02 ; 1.054414749e+02 ; 1.059296875e+02 ; 1.060235443e+02 ; 6.943858266e-01 ;
10.12.2019; 23:12:35; 1.327827835e+01 ; 1.463374901e+01 ; 1.511324120e+01 ; 1.520915699e+01 ; 9.023868561e+01 ; 1.049280319e+02 ; 1.059334259e+02 ; 1.060845718e+02 ; 1.061283722e+02 ; 6.074342132e-01 ;
10.12.2019; 23:27:35; 1.504318142e+01 ; 1.604258537e+01 ; 1.615182877e+01 ; 1.617370224e+01 ; 1.033730850e+02 ; 1.194095383e+02 ; 1.200485458e+02 ; 1.201228104e+02 ; 1.201580124e+02 ; 5.257834792e-01 ;
10.12.2019; 23:42:35; 1.386123180e+01 ; 1.471264839e+01 ; 1.475708961e+01 ; 1.476599789e+01 ; 9.539873505e+01 ; 1.100967636e+02 ; 1.106207809e+02 ; 1.106766739e+02 ; 1.107072449e+02 ; 5.026265979e-01 ;
10.12.2019; 23:57:35; 1.597817135e+01 ; 1.820936775e+01 ; 1.927204323e+01 ; 1.948460579e+01 ; 1.073110504e+02 ; 1.256646652e+02 ; 1.274340820e+02 ; 1.277244720e+02 ; 1.277933044e+02 ; 6.473106742e-01 ;
11.12.2019; 00:12:35; 1.590417004e+01 ; 1.864313698e+01 ; 2.012019730e+01 ; 2.041563988e+01 ; 1.057124176e+02 ; 1.245659180e+02 ; 1.268102875e+02 ; 1.271929550e+02 ; 1.272754135e+02 ; 6.460644007e-01 ;
11.12.2019; 00:27:35; 1.504568386e+01 ; 1.649389267e+01 ; 1.696624184e+01 ; 1.706073570e+01 ; 1.024363632e+02 ; 1.189819336e+02 ; 1.200393982e+02 ; 1.201948090e+02 ; 1.202420731e+02 ; 5.666936040e-01 ;
11.12.2019; 00:42:35; 1.632828712e+01 ; 1.837348175e+01 ; 1.926933670e+01 ; 1.944853783e+01 ; 1.101618881e+02 ; 1.286525116e+02 ; 1.302416840e+02 ; 1.304959412e+02 ; 1.305599823e+02 ; 6.291627288e-01 ;
11.12.2019; 00:57:35; 1.459418678e+01 ; 1.624690437e+01 ; 1.690576172e+01 ; 1.703755760e+01 ; 9.883515930e+01 ; 1.151641541e+02 ; 1.164211121e+02 ; 1.166166916e+02 ; 1.166692123e+02 ; 5.770161152e-01 ;
11.12.2019; 01:12:35; 1.815344810e+01 ; 2.059569740e+01 ; 2.172802353e+01 ; 2.195451164e+01 ; 1.221175079e+02 ; 1.428651428e+02 ; 1.447890015e+02 ; 1.451021423e+02 ; 1.451778870e+02 ; 6.239890456e-01 ;
11.12.2019; 01:27:35; 1.450044918e+01 ; 1.603034019e+01 ; 1.659415627e+01 ; 1.670694351e+01 ; 9.843896484e+01 ; 1.145363998e+02 ; 1.156806412e+02 ; 1.158546829e+02 ; 1.159038391e+02 ; 5.636695027e-01 ;
11.12.2019; 01:42:35; 1.413365746e+01 ; 1.559969044e+01 ; 1.612888527e+01 ; 1.623474693e+01 ; 9.600237274e+01 ; 1.116642532e+02 ; 1.127560730e+02 ; 1.129211578e+02 ; 1.129684143e+02 ; 5.512000918e-01 ;
11.12.2019; 01:57:35; 1.482754803e+01 ; 1.774133110e+01 ; 1.940994453e+01 ; 1.974369240e+01 ; 9.779030609e+01 ; 1.157741776e+02 ; 1.182025223e+02 ; 1.186244354e+02 ; 1.187109756e+02 ; 6.588001251e-01 ;
11.12.2019; 02:12:35; 1.578915024e+01 ; 1.789206505e+01 ; 1.885970879e+01 ; 1.905326271e+01 ; 1.062582016e+02 ; 1.242796707e+02 ; 1.259331512e+02 ; 1.262016602e+02 ; 1.262669525e+02 ; 5.650781989e-01 ;
11.12.2019; 02:27:35; 1.764929581e+01 ; 1.900313568e+01 ; 1.927802849e+01 ; 1.933303452e+01 ; 1.208962021e+02 ; 1.399154968e+02 ; 1.408342438e+02 ; 1.409541779e+02 ; 1.410003510e+02 ; 5.089774132e-01 ;
11.12.2019; 02:42:35; 1.365628147e+01 ; 1.585610485e+01 ; 1.700137329e+01 ; 1.723044777e+01 ; 9.109427643e+01 ; 1.071114197e+02 ; 1.088968048e+02 ; 1.091979218e+02 ; 1.092646408e+02 ; 6.439167261e-01 ;
11.12.2019; 02:57:35; 1.496724129e+01 ; 1.682787132e+01 ; 1.763765335e+01 ; 1.779962921e+01 ; 1.010093079e+02 ; 1.179427338e+02 ; 1.193862762e+02 ; 1.196168060e+02 ; 1.196751328e+02 ; 5.689455867e-01 ;
11.12.2019; 03:12:35; 1.563922977e+01 ; 1.896569443e+01 ; 2.093056107e+01 ; 2.132354736e+01 ; 1.026051407e+02 ; 1.218593292e+02 ; 1.246566620e+02 ; 1.251474457e+02 ; 1.252455292e+02 ; 5.671845078e-01 ;
11.12.2019; 03:27:35; 1.588979816e+01 ; 1.701810074e+01 ; 1.719229126e+01 ; 1.722715378e+01 ; 1.090363464e+02 ; 1.260573196e+02 ; 1.268000183e+02 ; 1.268916245e+02 ; 1.269307785e+02 ; 4.526349902e-01 ;
11.12.2019; 03:42:35; 1.980056381e+01 ; 2.498135948e+01 ; 2.825343895e+01 ; 2.890788460e+01 ; 1.278458176e+02 ; 1.533173523e+02 ; 1.577628021e+02 ; 1.585593872e+02 ; 1.587096558e+02 ; 6.999824643e-01 ;
11.12.2019; 03:57:35; 1.746438789e+01 ; 1.906844902e+01 ; 1.955444908e+01 ; 1.965167999e+01 ; 1.190673828e+02 ; 1.381858978e+02 ; 1.393416138e+02 ; 1.395080719e+02 ; 1.395608673e+02 ; 5.513706803e-01 ;
11.12.2019; 04:12:35; 1.797661209e+01 ; 2.139289474e+01 ; 2.332174873e+01 ; 2.370755196e+01 ; 1.188062439e+02 ; 1.404782410e+02 ; 1.433138123e+02 ; 1.438043060e+02 ; 1.439061127e+02 ; 6.419493556e-01 ;
11.12.2019; 04:27:35; 1.828431892e+01 ; 2.006155396e+01 ; 2.064957619e+01 ; 2.076721954e+01 ; 1.244493408e+02 ; 1.445759277e+02 ; 1.458771515e+02 ; 1.460691223e+02 ; 1.461270294e+02 ; 5.904356241e-01 ;
11.12.2019; 04:42:35; 1.984960556e+01 ; 2.208059692e+01 ; 2.296305656e+01 ; 2.313958168e+01 ; 1.344619293e+02 ; 1.566520081e+02 ; 1.583458557e+02 ; 1.586088257e+02 ; 1.586797791e+02 ; 6.022601724e-01 ;
11.12.2019; 04:57:35; 2.214556885e+01 ; 2.423232460e+01 ; 2.489127159e+01 ; 2.502310181e+01 ; 1.508702240e+02 ; 1.751728516e+02 ; 1.766875153e+02 ; 1.769081268e+02 ; 1.769764862e+02 ; 5.511285663e-01 ;
11.12.2019; 05:12:35; 2.091307449e+01 ; 2.312633514e+01 ; 2.394498825e+01 ; 2.410875893e+01 ; 1.419577484e+02 ; 1.651817322e+02 ; 1.668383484e+02 ; 1.670905762e+02 ; 1.671616669e+02 ; 5.579321980e-01 ;
